paulo;19-07-06 17.13.57;http://buscatextual.cnpq.br/buscatextual/visualizacv.jsp?id=K47;2;HP LaserJet 2300 Series PCL6
paulo;19-07-06 16.58.54;https://www.feesc.org.br/sifeesc/FeescWeb/FundodeBolsa/RelFinal;3;HP LaserJet 2300 Series PCL6
paulo;19-07-06 16.52.13;https://www.feesc.org.br/sifeesc/FeescWeb/FundodeBolsa/RelFinal;3;HP LaserJet 2300 Series PCL6
sunada;19-07-06 16.34.22;Impressão de fax em página inteira;1;HP LaserJet 2300 Series PCL6
eduardo;19-07-06 15.53.22;LA BOHEME.xls;1;HP LaserJet 2300 Series PCL6
eduardo;19-07-06 15.53.22;Microsoft Word - texto zeis final.doc;18;HP LaserJet 2300 Series PCL6
picoloto;19-07-06 15.16.41;Microsoft Word - Documento1;1;HP LaserJet 2300 Series PCL6
eduardo;19-07-06 15.12.26;http://baiacu.lmp.ufsc.br/webmail/src/printer_friendly_bottom.p;1;HP LaserJet 2300 Series PCL6
domitila;19-07-06 13.39.37;Introduction to Fluid Mechanics.PDF;4;HP LaserJet 2300 Series PCL6
domitila;19-07-06 13.36.52;Introduction to Fluid Mechanics.PDF;1;HP LaserJet 2300 Series PCL6
castillo;19-07-06 13.36.36;Microsoft Word - Plano de Trabalho ETH_19072006.doc;36;HP LaserJet 2300 Series PCL6
domitila;19-07-06 13.31.36;http://aspro01.npd.ufsc.br/cagr/camt/atestadoMatricula2.asp;1;HP LaserJet 2300 Series PCL6
sena;19-07-06 10.27.29;Microsoft Word - 2799-06 LABORAT. DE           MECÂNICA.DOC;2;HP LaserJet 2300 Series PCL6
oliveira;19-07-06 09.40.04;http://ntsat04.sef.sc.gov.br/DarOnLine/dar35.aspx?numDoc=604200;2;HP LaserJet 2300 Series PCL6
picoloto;19-07-06 09.19.52;http://www.dep.ufsc.br/pibic/termo/cadastro.php;2;HP LaserJet 2300 Series PCL6
sena;18-07-06 17.55.32;Microsoft Word - Stefanie_curriculo.doc;3;HP LaserJet 2300 Series PCL6
castillo;18-07-06 17.02.33;Documento;1;HP LaserJet 2300 Series PCL6
paravizi;18-07-06 16.46.15;http://aspro01.npd.ufsc.br/cagr/camt/atestadoMatricula2.asp;1;HP LaserJet 2300 Series PCL6
paravizi;18-07-06 16.10.36;Introduction to Fluid Mechanics.PDF;1;HP LaserJet 2300 Series PCL6
paravizi;18-07-06 16.10.19;Introduction to Fluid Mechanics.PDF;1;HP LaserJet 2300 Series PCL6
paravizi;18-07-06 16.09.58;Introduction to Fluid Mechanics.PDF;1;HP LaserJet 2300 Series PCL6
paravizi;18-07-06 16.09.22;Introduction to Fluid Mechanics.PDF;1;HP LaserJet 2300 Series PCL6
coelho;18-07-06 15.14.35;Microsoft Word - Programa Quina Coelho.doc;2;HP LaserJet 2300 Series PCL6
oliveira;18-07-06 14.40.57;http://www.dep.ufsc.br/pibic/termo/cadastro.php;2;HP LaserJet 2300 Series PCL6
pabloja;18-07-06 11.43.03;Figura1;1;HP LaserJet 2300 Series PCL6
eduardo;17-07-06 17.13.12;Microsoft Word - carta.doc;1;HP LaserJet 2300 Series PCL6
eduardo;17-07-06 17.01.46;Microsoft Word - carta.doc;1;HP LaserJet 2300 Series PCL6
eduardo;17-07-06 17.01.14;Microsoft Word - endereço.doc;1;HP LaserJet 2300 Series PCL6
ademir;17-07-06 16.54.02;WGP-2-a.pdf;6;HP LaserJet 2300 Series PCL6
sena;17-07-06 16.45.07;Microsoft Word - Documento2;1;HP LaserJet 2300 Series PCL6
mendonca;17-07-06 16.44.49;http://www.skf.com/portal/skf/home/products?paf_dm=shared&mainc;1;HP LaserJet 2300 Series PCL6
mendonca;17-07-06 16.42.07;http://www.skf.com/portal/skf/home/products?lang=pt&maincatalog;1;HP LaserJet 2300 Series PCL6
bruno;17-07-06 15.54.18;http://aspro01.npd.ufsc.br/cagr/camt/atestadoMatricula2.asp;1;HP LaserJet 2300 Series PCL6
helton;17-07-06 15.24.43;Microsoft Word - Carta reativação bolsa Bruno.doc;2;HP LaserJet 2300 Series PCL6
helton;17-07-06 15.20.09;Microsoft Word - Documento1;1;HP LaserJet 2300 Series PCL6
helton;17-07-06 15.12.06;Microsoft Word - Formulário Bolsa VA_Reimpl_ Bruno.doc;2;HP LaserJet 2300 Series PCL6
castillo;17-07-06 14.32.33;B1-05;1;HP LaserJet 2300 Series PCL6
bruno;17-07-06 12.09.55;Microsoft Word - Relátorio CCQ.doc;1;HP LaserJet 2300 Series PCL6
sena;17-07-06 10.25.16;Microsoft Word - Edital-PSPS 25-2006 DEPD .doc;16;HP LaserJet 2300 Series PCL6
paravizi;17-07-06 09.42.20;Microsoft Word - carioni.doc;1;HP LaserJet 2300 Series PCL6
bruno;14-07-06 16.57.35;Microsoft Word - letras.doc;2;HP LaserJet 2300 Series PCL6
paravizi;14-07-06 15.39.16;http://www.instron.com.br/wa/applications/test_types/hardness/k;2;HP LaserJet 2300 Series PCL6
paravizi;14-07-06 15.33.34;Microsoft Word - eletrotec.doc;11;HP LaserJet 2300 Series PCL6
robson;14-07-06 15.18.41;Microsoft Word - Trabalho%20de%20%20%20%20%20%20eletrot%E9cnica[1].doc;6;HP LaserJet 2300 Series PCL6
robson;14-07-06 15.18.29;Microsoft Word - Trabalho%20de%20%20%20%20%20%20eletrot%E9cnica[1].doc;6;HP LaserJet 2300 Series PCL6
anacristina;14-07-06 15.09.21;https://www.feesc.org.br/sifeesc/Principal.exe/GeraExtrato;2;HP LaserJet 2300 Series PCL6
paulo;14-07-06 14.47.29;Microsoft Word - Documento1;2;HP LaserJet 2300 Series PCL6
paravizi;14-07-06 12.51.09;https://www2.bancobrasil.com.br/aapf/pagamentos/0892.jsp;2;HP LaserJet 2300 Series PCL6
eduardo;14-07-06 10.07.32;Microsoft Word - Seminário Usinagem.doc;14;HP LaserJet 2300 Series PCL6
castillo;14-07-06 09.13.32;Microsoft Word - atividade 5-140706.doc;2;HP LaserJet 2300 Series PCL6
sena;13-07-06 18.31.41;Microsoft Word - Edital-PSPS%2025-2006%20DEPD%20.doc;2;HP LaserJet 2300 Series PCL6
sena;13-07-06 15.56.48;Microsoft Word - Declaração aulas práticas ministradas LMP.doc;1;HP LaserJet 2300 Series PCL6
sena;13-07-06 15.56.24;Microsoft Word - declaracao disciplina João Carlos Espíndola Ferreira.doc;1;HP LaserJet 2300 Series PCL6
sena;13-07-06 15.55.06;Microsoft Word - Declaração aulas práticas ministradas LMP.doc;1;HP LaserJet 2300 Series PCL6
sena;13-07-06 15.50.37;Microsoft Word - Curriculum Português instituicoes.doc;2;HP LaserJet 2300 Series PCL6
sena;13-07-06 15.50.05;Microsoft Word - Curriculum Português instituicoes.doc;3;HP LaserJet 2300 Series PCL6
sena;13-07-06 15.24.52;Microsoft Word - Documento2;1;HP LaserJet 2300 Series PCL6
sena;13-07-06 14.43.29;Microsoft Word - Documento1;5;HP LaserJet 2300 Series PCL6
sena;13-07-06 14.14.22;Microsoft Word - Documento1;6;HP LaserJet 2300 Series PCL6
sena;13-07-06 13.51.14;Microsoft Word - Documento1;5;HP LaserJet 2300 Series PCL6
sena;13-07-06 13.25.17;Microsoft Word - Documento1;2;HP LaserJet 2300 Series PCL6
eduardo;13-07-06 13.20.48;Microsoft Word - Documento1;1;HP LaserJet 2300 Series PCL6
sena;13-07-06 13.13.31;Microsoft Word - Curriculum Português instituicoes.doc;2;HP LaserJet 2300 Series PCL6
rolf;13-07-06 10.22.00;Microsoft Word - Declaração para UFSC_engenheiro LMP-130606.doc;1;HP LaserJet 2300 Series PCL6
castillo;13-07-06 10.14.43;Microsoft Word - Declaração para UFSC_engenheiro LMP- 130706.doc;1;HP LaserJet 2300 Series PCL6
castillo;13-07-06 10.14.36;Microsoft Word - Curriculo-Willian-120706.doc;4;HP LaserJet 2300 Series PCL6
pabloja;13-07-06 09.16.58;http://aspro03.npd.ufsc.br/grade/index.jsp?matricula=4239016&se;1;HP LaserJet 2300 Series PCL6
pabloja;13-07-06 09.01.59;http://aspro01.npd.ufsc.br/cagr/camt/aproveitamento3.asp;1;HP LaserJet 2300 Series PCL6
helio;13-07-06 08.42.06;IMAP://lmp.ufsc.br?fetch>UID>.I;1;HP LaserJet 2300 Series PCL6
victor;12-07-06 22.14.51;Microsoft Word - Novo_a_ Documento do Microsoft Word.doc;1;HP LaserJet 2300 Series PCL6
annepriscila;12-07-06 18.40.14;Microsoft Word - trab4_anne.doc;3;HP LaserJet 2300 Series PCL6
annepriscila;12-07-06 18.37.58;Microsoft Word - trab4_anne.doc;4;HP LaserJet 2300 Series PCL6
annepriscila;12-07-06 18.37.56;Microsoft Word - trab4_anne.doc;4;HP LaserJet 2300 Series PCL6
castillo;12-07-06 18.10.55;Microsoft Word - atividade 4-120706.doc;2;HP LaserJet 2300 Series PCL6
paulo;12-07-06 16.32.53;Microsoft Word - Pedido de doação de brindes;1;HP LaserJet 2300 Series PCL6
mendonca;12-07-06 16.00.22;Microsoft Word - Logística-Laboratorio_1.doc;2;HP LaserJet 2300 Series PCL6
mendonca;12-07-06 16.00.04;Microsoft Word - Logística-Laboratorio_1.doc;4;HP LaserJet 2300 Series PCL6
mendonca;12-07-06 15.58.55;Microsoft Word - Logística-Laboratorio_1.doc;1;HP LaserJet 2300 Series PCL6
paravizi;12-07-06 14.59.00;Microsoft Word - Suporte_chapelona2.doc;2;HP LaserJet 2300 Series PCL6
bruno;12-07-06 14.11.37;Quadro-notas-final.pdf;2;HP LaserJet 2300 Series PCL6
bruno;12-07-06 14.11.15;curr-port-jul-06-b.pdf;5;HP LaserJet 2300 Series PCL6
pabloja;12-07-06 13.52.16;Dermatologistas-GEAP.pdf;1;HP LaserJet 2300 Series PCL6
mendonca;12-07-06 13.31.21;Microsoft Word - Documento1;1;HP LaserJet 2300 Series PCL6
mendonca;12-07-06 13.30.17;Microsoft Word - Documento1;1;HP LaserJet 2300 Series PCL6
pedro;12-07-06 12.27.50;Microsoft Word - CurriculumPedroFontoura 2006 2.doc;2;HP LaserJet 2300 Series PCL6
mendonca;12-07-06 11.43.29;http://aspro01.npd.ufsc.br/cagr/camt/atestadoMatricula2.asp;1;HP LaserJet 2300 Series PCL6
paravizi;12-07-06 11.43.07;http://aspro01.npd.ufsc.br/cagr/camt/atestadoMatricula2.asp;1;HP LaserJet 2300 Series PCL6
oliveira;12-07-06 11.40.20;Themen Neu 1 Arbeitsbuch (image) Hueber - lektion fünf.pdf;9;HP LaserJet 2300 Series PCL6
rolf;12-07-06 11.10.46;Microsoft Word - Prprofa061d.doc;2;HP LaserJet 2300 Series PCL6
rolf;12-07-06 11.09.52;Microsoft Word - Prprofa061c.doc;2;HP LaserJet 2300 Series PCL6
rolf;12-07-06 11.07.14;Microsoft Word - Prprofa061b.doc;2;HP LaserJet 2300 Series PCL6
paulo;12-07-06 11.07.12;Microsoft Word - A_cana[1].doc;3;HP LaserJet 2300 Series PCL6
paulo;12-07-06 11.07.09;Microsoft Word - A_cana[1].doc;3;HP LaserJet 2300 Series PCL6
rolf;12-07-06 11.06.14;Microsoft Word - Prprofa061a.doc;2;HP LaserJet 2300 Series PCL6
rolf;12-07-06 10.51.35;Microsoft Word - Prprofa061a.doc;2;HP LaserJet 2300 Series PCL6
rolf;12-07-06 10.51.29;Microsoft Word - Prprofa061b.doc;2;HP LaserJet 2300 Series PCL6
rolf;12-07-06 10.51.22;Microsoft Word - Prprofa061c.doc;2;HP LaserJet 2300 Series PCL6
rolf;12-07-06 10.51.13;Microsoft Word - Prprofa061d.doc;2;HP LaserJet 2300 Series PCL6
sena;12-07-06 10.32.41;Microsoft Word - declaracao disciplina Lourival.doc;1;HP LaserJet 2300 Series PCL6
sena;12-07-06 10.32.02;Microsoft Word - declaracao disciplina João Carlos Espíndola Ferreira.doc;1;HP LaserJet 2300 Series PCL6
brasil;11-07-06 20.33.24;Microsoft Word - RAUL_BRASIL[2].doc;1;HP LaserJet 2300 Series PCL6
pabloja;11-07-06 19.10.53;Versão8(explodida)-mod4-ARTIGO.;1;Acrobat Distiller
pabloja;11-07-06 19.10.36;Versão8(explodida)-mod4-ARTIGO.;1;Acrobat Distiller
pabloja;11-07-06 19.08.50;Versão8(explodida)-mod4-ARTIGO.;1;Acrobat Distiller
pabloja;11-07-06 19.07.45;Versão8(explodida)-mod4-ARTIGO.;1;Acrobat Distiller
tognetta;11-07-06 17.44.11;Microsoft Word - Relatrio%2011-Tog[1].doc;2;HP LaserJet 2300 Series PCL6
sunada;11-07-06 15.48.55;Microsoft Word - Dissertação 12_Sun.doc;62;HP LaserJet 2300 Series PCL6
mortari;11-07-06 15.27.38;Microsoft Word - Horário Monitoria.doc;1;HP LaserJet 2300 Series PCL6
sena;11-07-06 13.44.43;Microsoft Word - Declaracao relatórios técnicos.doc;1;HP LaserJet 2300 Series PCL6
sena;11-07-06 13.42.53;Microsoft Word - Declaração tempo de bolsista.doc;1;HP LaserJet 2300 Series PCL6
sena;11-07-06 13.42.24;Microsoft Word - Declaracao orientacao de alunos graduacao.doc;1;HP LaserJet 2300 Series PCL6
sena;11-07-06 13.42.12;Microsoft Word - Declaracao Fabexp.doc;1;HP LaserJet 2300 Series PCL6
sena;11-07-06 13.41.51;Microsoft Word - declaração BRASILMAQ.doc;1;HP LaserJet 2300 Series PCL6
sena;11-07-06 13.41.41;Microsoft Word - Declaração aulas teóricas ministradas LMP.doc;1;HP LaserJet 2300 Series PCL6
sena;11-07-06 13.40.32;Microsoft Word - Declaração aulas práticas ministradas LMP.doc;1;HP LaserJet 2300 Series PCL6
mendonca;11-07-06 13.11.38;Microsoft Word - Documento1;1;HP LaserJet 2300 Series PCL6
bruno;11-07-06 08.41.22;Microsoft Word - Resumo.doc;1;HP LaserJet 2300 Series PCL6
moecke;11-07-06 08.23.57;ESTATISTICAS_SITE_IECLB.xls;4;HP LaserJet 2300 Series PCL6
moecke;11-07-06 08.19.52;Remote Downlevel Document;0;HP LaserJet 2300 Series PCL6
sena;10-07-06 16.50.45;Microsoft Word - datasus para IC.doc;10;HP LaserJet 2300 Series PCL6
sena;10-07-06 15.41.27;Microsoft Word - Declaração tempo de bolsista.doc;1;HP LaserJet 2300 Series PCL6
sena;10-07-06 15.38.41;Microsoft Word - Declaração tempo de bolsista.doc;1;HP LaserJet 2300 Series PCL6
